Year,CSIRO Adjusted Sea Level,Lower Error Bound,Upper Error Bound,NOAA Adjusted Sea Level
1880,-0.19600345142706316,-0.39600345142706317,0.003996548572936853,-0.1672247459634432
1881,0.2238570478281776,0.023857047828177602,0.4238570478281776,0.36685561135387135
1882,0.291348844758766,0.09134884475876598,0.491348844758766,0.15942778805607696
1883,0.7783098107962051,0.578309810796205,0.9783098107962052,0.6691580986018704
1884,-0.22656890677565691,-0.42656890677565695,-0.026568906775656903,-0.13875789846654582
1885,0.9730615779586351,0.7730615779586352,1.173061577958635,0.9504866617131906
1886,0.6086950817292334,0.40869508172923336,0.8086950817292333,0.3803080329924552
1887,0.9128688149732782,0.7128688149732783,1.1128688149732782,0.8632833844222071
1888,0.799472927688857,0.5994729276888571,0.999472927688857,0.8311218183979298
1889,-0.10117491210983309,-0.3011749121098331,0.09882508789016692,0.016192039027168578
1890,0.7026815606672189,0.5026815606672188,0.9026815606672189,0.7878383009044677
1891,-0.35396040497064085,-0.5539604049706408,-0.15396040497064084,-0.5121731377787624
1892,0.6704815178030142,0.4704815178030142,0.8704815178030143,0.6554312969673871
1893,0.7144549181952942,0.5144549181952942,0.9144549181952941,0.6771172330646184
1894,1.219936753786191,1.019936753786191,1.4199367537861909,1.0478255007151722
1895,1.2633424485215854,1.0633424485215854,1.4633424485215853,1.2099073437813155
1896,0.7057912586726207,0.5057912586726208,0.9057912586726207,0.8045033708019665
1897,1.1569244814848245,0.9569244814848246,1.3569244814848245,1.0761313739448517
1898,0.9672059265142756,0.7672059265142757,1.1672059265142756,0.8451957228249686
1899,1.4115317638231,1.2115317638231,1.6115317638231,1.6396073614950646
1900,1.6165019598347785,1.4165019598347786,1.8165019598347785,1.806318180852879
1901,1.4523376064896594,1.2523376064896594,1.6523376064896593,1.5306076929757286
1902,1.0996870397229452,0.8996870397229453,1.2996870397229452,1.0804875124188813
1903,1.2621483295190716,1.0621483295190717,1.4621483295190716,1.2480037593147117
1904,1.542819544158789,1.3428195441587891,1.742819544158789,1.7013925004948045
1905,1.4313049290157918,1.2313049290157918,1.6313049290157917,1.5810680659505274
