age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,salary
39,State-gov,77516,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Male,2174,0,40,United-States,<=50K
50,Self-emp-not-inc,83311,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,13,United-States,<=50K
38,Private,215646,HS-grad,9,Divorced,Handlers-cleaners,Not-in-family,White,Male,0,0,40,United-States,<=50K
53,Private,234721,11th,7,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,0,0,40,United-States,<=50K
28,Private,338409,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,Black,Female,0,0,40,Cuba,<=50K
49,Private,877891,HS-grad,9,Divorced,Farming-fishing,Unmarried,Amer-Indian-Eskimo,Male,0,0,25,Canada,<=50K
58,Private,118819,Assoc-voc,11,Divorced,Transport-moving,Unmarried,Black,Male,0,0,66,Puerto-Rico,<=50K
18,Local-gov,1357577,10th,6,Married-civ-spouse,Exec-managerial,Own-child,White,Male,0,0,76,Puerto-Rico,<=50K
41,Private,554725,Preschool,1,Separated,Sales,Other-relative,White,Female,0,0,51,England,>50K
56,State-gov,289196,HS-grad,9,Never-married,Farming-fishing,Unmarried,Other,Male,0,0,91,United-States,<=50K
76,Self-emp-not-inc,868966,10th,6,Separated,Sales,Own-child,Amer-Indian-Eskimo,Male,0,0,79,Philippines,<=50K
43,Private,452382,9th,5,Divorced,Prof-specialty,Other-relative,Other,Female,0,0,57,Puerto-Rico,<=50K
60,Self-emp-not-inc,971729,Preschool,1,Married-civ-spouse,Transport-moving,Not-in-family,White,Female,0,0,85,El-Salvador,>50K
73,Private,1396988,Assoc-acdm,12,Separated,Transport-moving,Wife,Other,Female,96234,3491,20,England,>50K
87,Private,1248584,Doctorate,16,Widowed,Adm-clerical,Other-relative,Black,Male,0,0,85,Puerto-Rico,<=50K
67,Self-emp-not-inc,1281383,Prof-school,15,Widowed,Transport-moving,Not-in-family,Black,Male,0,0,22,United-States,<=50K
82,Private,452919,Some-college,10,Widowed,Handlers-cleaners,Unmarried,Amer-Indian-Eskimo,Male,0,0,43,Puerto-Rico,>50K
48,Private,997825,Assoc-acdm,12,Married-civ-spouse,Exec-managerial,Unmarried,Other,Female,83688,1060,21,United-States,<=50K
79,Federal-gov,578089,12th,8,Married-civ-spouse,Handlers-cleaners,Not-in-family,Amer-Indian-Eskimo,Female,0,0,67,Mexico,<=50K
83,Federal-gov,990582,Assoc-voc,11,Married-civ-spouse,Sales,Unmarried,White,Male,58476,3564,81,Cuba,<=50K
72,Private,59623,HS-grad,9,Separated,Exec-managerial,Own-child,Asian-Pac-Islander,Male,0,0,80,England,<=50K
29,Private,1228497,7th-8th,4,Separated,Transport-moving,Not-in-family,Amer-Indian-Eskimo,Male,0,0,93,England,<=50K
65,Private,919829,12th,8,Married-civ-spouse,Craft-repair,Other-relative,White,Male,0,0,78,Canada,>50K
66,Private,1287686,11th,7,Separated,Prof-specialty,Unmarried,Black,Male,0,0,50,India,<=50K
73,Private,539344,Masters,14,Widowed,Tech-support,Wife,White,Female,0,0,43,Philippines,<=50K
42,Private,24136,1st-4th,2,Separated,Prof-specialty,Not-in-family,White,Male,0,0,60,Mexico,<=50K
84,Private,630931,Assoc-acdm,12,Separated,Transport-moving,Own-child,Amer-Indian-Eskimo,Male,0,0,43,Canada,<=50K
43,Private,681270,9th,5,Separated,Farming-fishing,Unmarried,Other,Male,0,0,74,Mexico,<=50K
80,Private,509996,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Not-in-family,Asian-Pac-Islander,Male,0,0,42,El-Salvador,<=50K
46,Private,35362,HS-grad,9,Separated,Transport-moving,Wife,Black,Female,0,0,50,Cuba,<=50K
66,Federal-gov,807069,5th-6th,3,Widowed,Handlers-cleaners,Other-relative,Asian-Pac-Islander,Male,0,0,34,Germany,>50K
19,Private,1308758,10th,6,Never-married,Transport-moving,Wife,Other,Female,0,0,30,Puerto-Rico,>50K
65,Private,476829,Bachelors,13,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,61,Mexico,<=50K
17,Private,236165,10th,6,Divorced,Sales,Not-in-family,Asian-Pac-Islander,Male,0,0,74,England,<=50K
86,Self-emp-inc,653051,Prof-school,15,Divorced,Handlers-cleaners,Own-child,Black,Female,0,0,56,United-States,<=50K
85,Private,786596,11th,7,Separated,Transport-moving,Not-in-family,Other,Male,0,0,17,Germany,<=50K
24,Private,248467,Prof-school,15,Separated,Farming-fishing,Other-relative,White,Male,0,0,86,United-States,>50K
56,Private,532528,Preschool,1,Separated,Tech-support,Husband,Other,Male,0,0,77,United-States,<=50K
71,Private,941412,Some-college,10,Married-civ-spouse,Craft-repair,Own-child,White,Male,0,0,28,Canada,>50K
78,Private,1350474,12th,8,Separated,Tech-support,Other-relative,Other,Male,0,0,41,India,<=50K
67,Local-gov,1362959,Some-college,10,Widowed,Handlers-cleaners,Wife,Asian-Pac-Islander,Female,0,0,17,Germany,<=50K
18,Local-gov,651591,Preschool,1,Never-married,Exec-managerial,Own-child,Black,Male,0,0,31,El-Salvador,<=50K
38,Private,300398,Assoc-acdm,12,Separated,Handlers-cleaners,Not-in-family,Other,Male,0,0,92,El-Salvador,<=50K
24,Private,872137,12th,8,Widowed,Handlers-cleaners,Other-relative,Asian-Pac-Islander,Male,0,0,81,United-States,<=50K
65,Private,55335,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,Amer-Indian-Eskimo,Male,0,0,80,Puerto-Rico,<=50K
63,Private,789977,Assoc-acdm,12,Separated,Farming-fishing,Other-relative,Black,Male,0,0,75,India,>50K
71,Private,1477322,7th-8th,4,Divorced,Tech-support,Other-relative,Other,Female,0,0,87,England,>50K
87,Private,749846,Some-college,10,Separated,Craft-repair,Wife,Black,Female,0,0,40,Canada,>50K
80,Self-emp-not-inc,200374,12th,8,Separated,Transport-moving,Unmarried,Amer-Indian-Eskimo,Female,0,0,31,Philippines,<=50K
38,Private,112208,5th-6th,3,Separated,Farming-fishing,Not-in-family,Black,Female,0,0,36,Germany,<=50K
35,State-gov,857484,Some-college,10,Divorced,Prof-specialty,Wife,Asian-Pac-Islander,Female,0,0,18,El-Salvador,<=50K
45,Private,1088342,Doctorate,16,Never-married,Farming-fishing,Not-in-family,Other,Female,0,0,91,Puerto-Rico,<=50K
41,Self-emp-not-inc,321458,Assoc-voc,11,Never-married,Tech-support,Wife,White,Female,29517,2007,40,Canada,<=50K
79,Federal-gov,455338,1st-4th,2,Never-married,Transport-moving,Other-relative,White,Male,0,0,77,Germany,>50K
23,Private,667878,7th-8th,4,Married-civ-spouse,Sales,Not-in-family,Amer-Indian-Eskimo,Male,0,0,92,Philippines,<=50K
75,Private,931046,Bachelors,13,Married-civ-spouse,Farming-fishing,Unmarried,Other,Male,0,0,47,India,<=50K
62,Federal-gov,198568,1st-4th,2,Married-civ-spouse,Craft-repair,Other-relative,Black,Female,0,0,75,India,>50K
85,Local-gov,42069,12th,8,Separated,Sales,Not-in-family,Black,Female,94294,3122,45,Germany,<=50K
47,Self-emp-inc,1025675,Prof-school,15,Married-civ-spouse,Transport-moving,Unmarried,Other,Female,0,0,63,Philippines,<=50K
24,Private,966111,Some-college,10,Divorced,Sales,Wife,Black,Female,0,0,98,United-States,<=50K
22,Private,631582,7th-8th,4,Widowed,Sales,Wife,White,Female,0,0,42,India,<=50K
80,Federal-gov,163793,Masters,14,Married-civ-spouse,Exec-managerial,Husband,Other,Male,53682,3378,84,Canada,>50K
34,Private,1314511,Some-college,10,Never-married,Farming-fishing,Husband,Black,Male,0,0,46,England,<=50K
43,Private,61522,9th,5,Divorced,Farming-fishing,Own-child,White,Male,0,0,52,Germany,>50K
72,Private,1028699,Preschool,1,Never-married,Adm-clerical,Unmarried,Amer-Indian-Eskimo,Female,0,0,12,United-States,<=50K
42,Self-emp-not-inc,518417,Assoc-acdm,12,Never-married,Exec-managerial,Own-child,Black,Male,0,0,23,England,<=50K
58,Private,619211,Assoc-voc,11,Married-civ-spouse,Farming-fishing,Not-in-family,Asian-Pac-Islander,Female,0,0,71,Canada,<=50K
49,State-gov,68262,12th,8,Widowed,Handlers-cleaners,Own-child,Other,Female,0,0,59,Germany,>50K
84,Private,861967,Assoc-acdm,12,Widowed,Sales,Own-child,Asian-Pac-Islander,Female,0,0,50,India,<=50K
44,Local-gov,537143,Masters,14,Divorced,Adm-clerical,Own-child,Amer-Indian-Eskimo,Female,0,0,10,Puerto-Rico,<=50K
27,Private,1394268,12th,8,Widowed,Sales,Other-relative,Asian-Pac-Islander,Female,0,0,52,England,<=50K
66,Private,294621,Assoc-voc,11,Separated,Craft-repair,Unmarried,White,Female,0,0,71,Germany,<=50K
73,Private,1466366,Assoc-acdm,12,Widowed,Prof-specialty,Other-relative,Asian-Pac-Islander,Female,0,0,68,Germany,<=50K
83,State-gov,722003,Some-college,10,Married-civ-spouse,Sales,Husband,Amer-Indian-Eskimo,Male,0,0,17,India,>50K
72,Private,423068,Assoc-acdm,12,Married-civ-spouse,Sales,Wife,White,Female,0,0,26,Mexico,<=50K
33,Self-emp-inc,199135,Assoc-voc,11,Widowed,Farming-fishing,Own-child,Amer-Indian-Eskimo,Female,0,0,17,England,<=50K
26,Self-emp-inc,640799,Prof-school,15,Married-civ-spouse,Craft-repair,Unmarried,White,Male,68758,2674,12,Philippines,<=50K
53,Private,418393,9th,5,Never-married,Exec-managerial,Husband,Amer-Indian-Eskimo,Male,0,0,11,Puerto-Rico,<=50K
47,Self-emp-not-inc,712941,Prof-school,15,Never-married,Handlers-cleaners,Unmarried,Black,Female,0,0,48,United-States,<=50K
49,Private,20780,10th,6,Never-married,Farming-fishing,Not-in-family,White,Male,0,0,29,Canada,<=50K
79,Private,137444,9th,5,Separated,Transport-moving,Other-relative,Other,Female,0,0,96,India,<=50K
36,Self-emp-not-inc,351921,10th,6,Widowed,Prof-specialty,Other-relative,Other,Female,0,0,40,Canada,<=50K
25,Federal-gov,1407721,Some-college,10,Divorced,Transport-moving,Not-in-family,Asian-Pac-Islander,Female,0,0,27,Canada,<=50K
40,Private,1047211,9th,5,Divorced,Craft-repair,Wife,Asian-Pac-Islander,Female,0,0,95,El-Salvador,<=50K
81,Private,1418416,10th,6,Never-married,Transport-moving,Own-child,Black,Female,0,0,60,Canada,>50K
86,Federal-gov,1184208,Assoc-acdm,12,Married-civ-spouse,Farming-fishing,Not-in-family,Other,Female,0,0,48,Puerto-Rico,<=50K
84,Private,1051558,7th-8th,4,Separated,Farming-fishing,Husband,Black,Male,0,0,87,Philippines,>50K
70,State-gov,408520,Bachelors,13,Never-married,Adm-clerical,Unmarried,Other,Male,0,0,86,El-Salvador,<=50K
60,Private,933045,7th-8th,4,Never-married,Adm-clerical,Other-relative,Black,Male,0,0,55,India,<=50K
32,Self-emp-inc,1323657,11th,7,Separated,Prof-specialty,Wife,Black,Female,0,0,60,India,<=50K
60,Federal-gov,242778,Assoc-acdm,12,Widowed,Transport-moving,Wife,Other,Female,0,0,38,Mexico,<=50K
61,Private,277525,Preschool,1,Separated,Handlers-cleaners,Husband,White,Male,0,0,96,Canada,<=50K
34,Private,918104,Bachelors,13,Married-civ-spouse,Sales,Wife,Asian-Pac-Islander,Female,82567,1476,61,Mexico,<=50K
73,Private,328870,7th-8th,4,Separated,Adm-clerical,Other-relative,Amer-Indian-Eskimo,Female,38432,1082,77,El-Salvador,<=50K
40,Federal-gov,434596,Prof-school,15,Separated,Craft-repair,Unmarried,White,Female,0,0,96,United-States,<=50K
80,Private,1388113,1st-4th,2,Married-civ-spouse,Transport-moving,Husband,Asian-Pac-Islander,Male,97674,3931,90,Canada,<=50K
20,Private,1206931,Masters,14,Never-married,Tech-support,Wife,White,Female,0,0,24,India,<=50K
76,Private,710539,Some-college,10,Widowed,Farming-fishing,Not-in-family,Asian-Pac-Islander,Male,0,0,65,India,<=50K
30,Private,276331,Some-college,10,Divorced,Exec-managerial,Other-relative,Asian-Pac-Islander,Male,0,0,40,England,<=50K
86,Private,44906,10th,6,Separated,Adm-clerical,Other-relative,Other,Male,0,0,72,Mexico,<=50K
21,Private,621996,Bachelors,13,Never-married,Farming-fishing,Husband,Black,Male,0,0,30,England,<=50K
29,Federal-gov,1107769,1st-4th,2,Separated,Farming-fishing,Other-relative,Asian-Pac-Islander,Female,0,0,15,El-Salvador,<=50K
29,Local-gov,794465,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,Other,Male,0,0,91,Germany,<=50K
62,Private,401450,10th,6,Married-civ-spouse,Exec-managerial,Own-child,Amer-Indian-Eskimo,Female,0,0,77,El-Salvador,<=50K
53,Private,1306549,Bachelors,13,Separated,Transport-moving,Wife,Amer-Indian-Eskimo,Female,0,0,77,Mexico,<=50K
73,Private,974911,9th,5,Never-married,Adm-clerical,Not-in-family,Black,Male,0,0,38,Cuba,>50K
43,Federal-gov,1464142,5th-6th,3,Never-married,Adm-clerical,Not-in-family,Black,Female,0,0,45,El-Salvador,>50K
75,Private,343410,Preschool,1,Widowed,Prof-specialty,Not-in-family,Amer-Indian-Eskimo,Male,0,0,89,United-States,<=50K
